location,region,category,subcategory,index,addr,name,lng,lat,confidence
1,r1,50,g157,0,瑞金南路1号海兴广场17楼G座(日月光广场对面麦当劳隔壁地铁9号线打浦桥站4号出口步行500米即到,梳妆台Hair Salon(日月光店),None,None,None
1,r1,50,g157,1,淮海中路939号巴黎春天B2  103,PETER 造型(淮海中路巴黎春天店),121.428829431,31.2230114943,80
1,r1,50,g157,2,淮海中路138号，上海广场4楼 428室,Hair Vision(势崛私属造型),121.484094744,31.23088451,80
1,r1,50,g157,3,打浦路1号金玉兰广场商务楼2007室,蕾娜发型沙龙,121.477007111,31.2106315219,80
1,r1,50,g157,4,瑞金一路144号2楼,ROUGE SALON(如丝发型艺术沙龙),121.470186061,31.2254021133,80
1,r1,50,g157,5,马当路222弄华府天地B1-104,3AM HAIR SALON(上海马当路店),121.480864,31.2249128657,70
1,r1,50,g157,6,新乐路30号一楼底层,Z manor 庄 hair&nails salon,121.463635625,31.2246286302,80
1,r1,50,g157,7,徐家汇路618号日月光中心广场B1楼(城市超市对面)RJ16,Yes沙龙(日月光店),121.474508535,31.2133496305,70
1,r1,50,g157,8,淮海中路417号香黛购物广场,Yuki Studio(王涵造型),121.478577709,31.2279153686,80
1,r1,50,g157,9,自忠路365-1号商铺,idol studio(新天地旗舰店),121.480223695,31.2240039319,80
1,r1,50,g157,10,陕西南路5-7号城市酒店1楼,CSY SALON,121.46360961,31.2289615647,80
1,r1,50,g157,11,新天地-南昌路58号,W hair salon,121.476697388,31.2254806735,80
1,r1,50,g157,12,雁荡路99号101室,Lycoris By The Room,121.476486235,31.2252546486,80
1,r1,50,g157,13,马当路388号SOHO复兴广场E幢B2-03室,LIZ Salon(新天地店),121.476656189,31.2237211785,80
1,r1,50,g157,14,淮海中路927弄淮海坊93号,Grace studio(淮海中路店),121.467201498,31.2223796988,70
1,r1,50,g157,15,淮海中路927弄56号淮海坊,New Fashion发型定制(淮海路店),121.467201498,31.2223796988,70
1,r1,50,g157,16,思南路15号,Mirror Salon,121.472808106,31.2247939684,80
1,r1,50,g157,17,南昌路145号 近茂名南路,藤川国际造型(淮海中路精品店),121.469612208,31.2233220324,80
1,r1,50,g157,0,大沽路518号,Alize Salon爱俪榭专业造型(大沽...,121.470027724,31.2315156183,80
1,r1,50,g157,1,重庆南路18号乙,kevin studio(重庆南路店),121.477905,31.226853866,80
1,r1,50,g157,2,陕西南路238号中轻商务楼211室,中泽形象Studio(淮海路店),121.465022614,31.2237892684,80
1,r1,50,g157,3,新乐路30号一楼底层,Z manor 庄 hair&nails salon,121.463635625,31.2246286302,80
1,r1,50,g157,4,徐家汇路618号日月光广场B2楼RJ02号铺,伊本造型(PY 日月光店),121.474777334,31.2117941159,80
1,r1,50,g157,5,陕西南路218号二楼,ALINE,121.464862197,31.2241718412,80
1,r1,50,g157,6,打浦路78号,米兰国际时尚造型(打浦一店),121.476795121,31.2096652811,80
1,r1,50,g157,7,长乐路139-9号,God Hands发型设计沙龙(长乐店),121.471804691,31.2275429417,80
1,r1,50,g157,8,近思南公馆重庆南路189号,10和13号线新天地站5号口出,1号线黄陂南路站1号口,大和形象,121.477387693,31.2206167218,80
1,r1,50,g157,9,瑞金二路116号,IHAIR Salon,121.471566,31.219866865,80
1,r1,50,g157,10,淮海中路999号iapm商场LG室1楼铺位171-172号,IL Colpo(iapm店),121.465422537,31.2212124807,80
1,r1,50,g157,11,重庆南路35号,Barber Shop,121.478404486,31.227089523,80
1,r1,50,g157,12,云南南路143号 (提供全市上门服务),强生婴儿理发,121.488272919,31.2323352064,80
1,r1,50,g157,13,雁荡路5号金雁坊2楼,TOP JEANS SALON(淮海店),121.476587342,31.2264528994,80
1,r1,50,g157,14,南昌路144号2楼3楼,CreatorSalon（创造者）,121.474154661,31.2248887434,80
1,r1,50,g157,0,【好声音合作门店】长乐路400号,锦江迪生-锦江旅游中心三楼,秦造型2(精准剪发 洗完就好),121.465777379,31.2268777321,80
1,r1,50,g157,1,新天地马当路306弄,藤形象(新天地店),121.481027052,31.2232088939,80
1,r1,50,g157,2,马当路245号新天地时尚商场L211,Change Rendy(CR无痕接发),121.481479391,31.2235206185,80
1,r1,50,g157,3,茂名路长乐路382号.新旺茶餐厅对面,藤川国际造型(长乐路潮牌店),121.468137696,31.2272684264,80
1,r1,50,g157,4,淮海中路697弄23号,M+Home Style 美咖造型(淮海中路...,121.471872907,31.2253574015,80
1,r1,50,g157,5,淮海中路417号香黛购物广场,Yuki Studio(王涵造型),121.478577709,31.2279153686,80
1,r1,50,g157,6,新乐路11号2-3楼,J Eleven型人坊(新乐路总店),121.464179682,31.2245024078,80
1,r1,50,g157,7,斜土路54号,京世造型美容(斜土路),121.490324,31.2121528641,80
1,r1,50,g157,8,瑞金二路38号乙永瑞实业公司三楼,Symbol Studio(森泊美发淮海路店...,121.470722267,31.2233200701,80
1,r1,50,g157,9,淮海中路1号1F12号商铺,梵创造型(淮海1号店),121.486585643,31.230862128,80
1,r1,50,g157,10,斜土路796号(距日月光3分钟）,AUGUST SALON(打浦桥店),121.476521659,31.2075398827,80
1,r1,50,g157,11,徐家汇路618号日月光中心广场B2楼S-01室,梵创造型(日月光店),121.474508535,31.2133496305,70
1,r1,50,g157,12,东湖路7号东湖宾馆2楼,维度发型顾问,121.460685532,31.2221812386,80
1,r1,50,g157,13,瑞金南路1号海兴广场17楼G座(日月光广场对面麦当劳隔壁地铁9号线打浦桥站4号出口步行500米即到,梳妆台Hair Salon(日月光店),None,None,None
1,r1,50,g157,14,大沽路288号大沽庭2号楼一层1B,Belles美发沙龙,121.475084619,31.2320965688,80
1,r1,50,g157,0,南昌路286号,Home One(巨星造型),121.469129953,31.2232305461,80
1,r1,50,g157,1,新天地自忠路369号近马当路,PM Salon(spectrum),121.48013322,31.2239356074,80
1,r1,50,g157,2,瑞金二路26号,梵创造型(南昌路店),121.47058701,31.2238046326,80
1,r1,50,g157,3,陕西北路66号 靠近延安中路 科恩大厦28楼2804室,MC HAIR SALON无痕接发(旗舰店),121.463299014,31.2307363111,80
1,r1,50,g157,4,南昌路559号2楼,BENSON(淮海店),121.46458872,31.2205954316,80
1,r1,50,g157,5,兴业路156弄1号锦麟天地内,V PLUS染发主题美发沙龙,121.480696928,31.2257554037,70
1,r1,50,g157,6,徐汇区嘉善路508号尚街·loft 一号楼202,HMC整体形象艺术中心,121.466487823,31.2106627147,80
1,r1,50,g157,7,淮海中路935号美臣大酒店3楼电梯出来右边,发力无边(淮海美臣店),121.466237178,31.2230696913,80
1,r1,50,g157,8,徐家汇路618号日月光广场4楼4F-xjh-10(日月光徐家汇区),God Hands发型设计沙龙(日月光店...,121.474777334,31.2117941159,80
1,r1,50,g157,9,长乐路411号2楼,Studio 307,121.461229223,31.2251946267,80
1,r1,50,g157,10,马当路245号新天地时尚商场L211,KIS HAIR SALON 无痕接发(新天地...,121.481479391,31.2235206185,80
1,r1,50,g157,11,茂名南路165号G室,G-STYLE SALON,121.468712039,31.2211991601,80
1,r1,50,g157,12,瑞金二路118号瑞金洲际酒店贵宾楼B1,九木SALON(瑞金宾馆店),121.47130726,31.2193006632,80
1,r1,50,g157,13,蒙自东路27号B1-112号铺,AUGUST SALON(新天地店),121.484716468,31.2135806375,80
1,r1,50,g157,14,南昌路274号,ID Hair,121.469789,31.2235108655,80
1,r1,50,g157,0,徐家汇路618号日月光中心广场B1楼(城市超市对面)RJ16,Yes沙龙(日月光店),121.474508535,31.2133496305,70
1,r1,50,g157,1,陕西南路368弄甲栋二楼,Salon-ABC 巨星造型,121.466684718,31.2202610206,80
1,r1,50,g157,2,马当路222弄1-6号华府天地地下105商铺,IRIS爱蕊丝美发造型机构(新天地...,121.480864,31.2249128657,70
1,r1,50,g157,3,长乐路400号锦江旅游商厦三楼(原锦江迪生),发力无边(锦江旗舰店),121.466561586,31.2271547558,80
1,r1,50,g157,4,淮海中路138号上海广场3楼301A单元,知还C.H Studio(上海广场店),121.484094744,31.23088451,80
1,r1,50,g157,5,永嘉路47号,H_AIR SALON,121.468270603,31.2160340128,80
1,r1,50,g157,6,大沽路388号,ATS artistic styling,121.472365,31.2316548666,80
1,r1,50,g157,7,南昌路216号,BK2 hair style,121.471986,31.2241028656,80
1,r1,50,g157,8,斜土路630号,米兰国际时尚造型(斜土路店),121.48069,31.2085178636,80
1,r1,50,g157,9,斜土路792号,米兰国际时尚造型(打浦路二店),121.476583,31.2075968635,80
1,r1,50,g157,10,马当路245号新天地时尚B204-B205单元,蒂梵尼造型设计(新天地店),121.481760107,31.2225553071,80
1,r1,50,g157,11,徐家汇路618号日月光中心4楼徐家汇区04店铺,丝域养发馆(上海日月光店),121.474817822,31.2120995158,80
1,r1,50,g157,12,瑞金二路118号瑞金洲际酒店贵宾楼B1楼,VJ studio(瑞金洲际酒店),121.47130726,31.2193006632,80
1,r1,50,g157,13,长乐路254号,Kone(无痕接发),121.471694238,31.2277049939,80
1,r1,50,g157,14,淮海中路 927弄87号（淮海坊）,i_ME美发潮店,121.467201498,31.2223796988,70
1,r1,50,g157,0,淮海中路138号，上海广场4楼 428室,Hair Vision(势崛私属造型),121.484094744,31.23088451,80
1,r1,50,g157,1,淮海中路99号大上海时代广场内连卡佛5楼,IL Colpo(连卡佛店),121.485225679,31.2306409009,80
1,r1,50,g157,2,瞿溪路988弄1号汇暻生活广场1楼,K G 凯格造型坊,121.483753623,31.2049551153,80
1,r1,50,g157,3,淮海中路381号中环广场2楼208室,東田造型(中环店),121.47935148,31.2279608027,80
1,r1,50,g157,4,进贤路219号2楼,JX(淮海路旗舰店),121.464161044,31.2273040577,80
1,r1,50,g157,5,打浦路1号金玉兰广场商务楼2007室,蕾娜发型沙龙,121.477007111,31.2106315219,80
1,r1,50,g157,6,淡水路213号,翠步摇,121.479871625,31.2233803992,80
1,r1,50,g157,7,茂名南路58号花园饭店3楼,IDEA(花园饭店店),121.466771185,31.2261013786,80
1,r1,50,g157,8,嵩山路81号,MAXIM玛克西姆形象设计(淮海中路...,121.482496638,31.2284727672,80
1,r1,50,g157,9,雁荡路99号101室,Lycoris By The Room,121.476486235,31.2252546486,80
1,r1,50,g157,10,蒙自路489号,星一代美容美发养生SPA会馆(蒙自...,121.486106594,31.2074753924,80
1,r1,50,g157,11,淮海中路138号上海广场4楼415B,孙平形象设计(淮海路店),121.484094744,31.23088451,80
1,r1,50,g157,12,淮海中路138号上海广场5楼508,容逸 Easy Styling,121.484094744,31.23088451,80
1,r1,50,g157,13,淮海中路300号k11购物中心B1楼B116号商铺,Franck Provost梵珀巴黎法式发艺...,121.480266319,31.2290938086,80
1,r1,50,g157,14,淮海中路927弄77号,Neopretty发型设计沙龙,121.467311243,31.2222617209,75
1,r1,50,g157,0,建国东路342号,邦德明星SALON(新天地店),121.48274153,31.2182266237,80
1,r1,50,g157,1,巨鹿路385号,Kensalon,121.465707903,31.2287790731,80
1,r1,50,g157,2,南昌路157号(近茂名南路)地铁1/10/12号线陕西南路站1号线4号出口,colourful私人定制,121.468999145,31.2228927856,80
1,r1,50,g157,3,丽园路504号,XD川木造型,121.488502392,31.213488528,80
1,r1,50,g157,4,马当路596号,Ain Salon,121.482498747,31.2162505456,80
1,r1,50,g157,5,瑞金一路144号2楼,ROUGE SALON(如丝发型艺术沙龙),121.470186061,31.2254021133,80
1,r1,50,g157,6,新天地-南昌路58号,W hair salon,121.476697388,31.2254806735,80
1,r1,50,g157,7,自忠路365-1号商铺,idol studio(新天地旗舰店),121.480223695,31.2240039319,80
1,r1,50,g157,8,打浦路459号,Alan造型,121.479813191,31.2030664638,80
1,r1,50,g157,9,马当路22弄,造型,121.479291743,31.2298826046,50
1,r1,50,g157,10,淮海中路927弄淮海坊119号,Feel Salon,121.467201498,31.2223796988,70
1,r1,50,g157,11,南昌路282号2楼,米咔无痕接发(南昌路店),121.469290788,31.2233977398,80
1,r1,50,g157,12,陕西南路222弄21号,NO.21HairStudio,121.464550938,31.224146665,80
1,r1,50,g157,13,斜土路455号,好莱屋美容美发(好莱屋私人订制),121.484100202,31.2099403994,80
1,r1,50,g157,14,长乐路460弄3号,Cola-Pie日系美发沙龙(长乐路店),121.464883773,31.2269719142,80
1,r1,50,g157,0,淡水路214弄2号,the PABLO,121.47950008,31.2237874261,80
1,r1,50,g157,1,新乐路44弄2号,森田Hair Studio(新乐路44号),121.463185926,31.2246072353,80
1,r1,50,g157,2,蒙自路509号,邦德明星SALON(打浦桥店),121.48648755,31.2068088937,80
1,r1,50,g157,3,［老卢湾区］淮海中路瑞金一路150号瑞金公寓501室,蔻奕,121.470246209,31.225160996,70
1,r1,50,g157,4,进贤路219号-5,I Salon,121.464161044,31.2273040577,80
1,r1,50,g157,5,乍浦路318号,卡哇伊 造型(精品店),121.493602752,31.2555489198,80
1,r1,50,g157,6,打浦路8号海华商厦-216室,In Beauty美发沙龙(日月光店),121.475982621,31.2111711128,80
1,r1,50,g157,7,长乐路462号E305室,恒惜形象设计(长乐路店),121.464502201,31.2268678161,80
1,r1,50,g157,8,嵩山路115号,专剪坊,121.482687305,31.2279192653,80
1,r1,50,g157,9,斜土路90号,川岛国际造型(斜土路店),121.489647,31.2119138641,80
1,r1,50,g157,10,马当路306-2,G B Y 上海新天地无痕接发,121.481143689,31.2233987386,80
1,r1,50,g157,11,自忠路414号,新秀造型,121.479590672,31.2240457702,80
1,r1,50,g157,12,兴业路156弄3号（锦麟天地雅苑A9商铺）,桑妮形象造型(新天地店),121.480122944,31.2262278602,70
1,r1,50,g157,13,马当路365号,川岛国际造型(马当路店),121.482239857,31.2190658754,80
1,r1,50,g157,14,江滨路99号海外滩购物广场2-108,Styling house韩国美容美发美甲...,121.479035258,31.1987799051,80
1,r1,50,g157,0,斜土路800号,永琪美容美发(斜土路店),121.476299,31.2074918635,80
1,r1,50,g157,1,瑞金二路119号,坂田造型(瑞金路店),121.47183,31.2200308651,80
1,r1,50,g157,2,南塘浜路125弄1号102室,东军造型,121.478851214,31.2093052086,80
1,r1,50,g157,3,徐家汇路669号海华商厦118A室,立波发型,121.475982621,31.2111711128,80
1,r1,50,g157,4,淮海路222号力宝广场B1楼B105号商铺,FUR(淮海路店),121.482406833,31.2302845615,80
1,r1,50,g157,5,淮海中路1285弄上方花园24号(地铁一号线七号线常熟路一号口马路对面,BEGINNING nail and eyelash stu...,121.45763623,31.2188925493,70
1,r1,50,g157,6,丽园路,永琪美容美发(丽园店),121.487015781,31.213012729,30
1,r1,50,g157,7,淮海路102号,Alisa私人定制(淮海路店),121.464653495,31.2216538875,30
1,r1,50,g157,8,陕西南路238号中轻商务楼203室,王宇造型日韩沙龙,121.465022614,31.2237892684,80
1,r1,50,g157,9,淮海中路622弄7号御花园宾馆1楼,桑妮形象造型(淮海中路店),121.472970173,31.2273513043,80
1,r1,50,g157,10,鲁班路619号汇景生活广场B2楼255-261室,维多利亚造型护肤,121.236782646,31.0605793165,80
1,r1,50,g157,11,打浦路8号【海华商厦213】,MASK 手艺馆,121.475982621,31.2111711128,80
1,r1,50,g157,12,长乐路348号,3QHair(长乐路店),121.468981547,31.2274337813,80
1,r1,50,g157,13,瑞金一路126弄11号,Salon Air,121.470056623,31.2257694173,80
1,r1,50,g157,14,马当路365号川岛造型店内,AF国际美业(新天地店),121.482239857,31.2190658754,80
1,r1,50,g157,0,瞿溪路857-861号,文峰美容美发(瞿溪路店),121.486728293,31.2065348642,80
1,r1,50,g157,1,新乐路28号,A&C hair style,121.463657692,31.2245602722,80
1,r1,50,g157,2,重庆南路188号近复兴中路,千和专业无痕接发,121.477226232,31.2233240422,80
1,r1,50,g157,3,南昌路183号,沪江理发店,121.46792368,31.2219012513,80
1,r1,50,g157,4,打浦路8号海华商厦125室,歌薇造型,121.475982621,31.2111711128,80
1,r1,50,g157,5,淮海中路542弄24号,AD形象会社(淮海中路店),121.475223946,31.2270428178,80
1,r1,50,g157,6,南昌路282号,米咔啵啵时尚假发(南昌路店),121.469290788,31.2233977398,80
1,r1,50,g157,7,自忠路57号,尚川造型(自忠路店),121.487125993,31.2258727893,80
1,r1,50,g157,8,南昌路625号,尚海造型,121.463489201,31.2203110071,80
1,r1,50,g157,9,打浦路403号,文峰美发美容(打浦路店),121.478900132,31.2044239807,80
1,r1,50,g157,10,复兴中路553弄13号,KIS无痕接发,121.473488622,31.2205404813,80
1,r1,50,g157,11,陕西南路192号2楼,丽人型(淮海路店),121.464471157,31.2250780407,80
1,r1,50,g157,12,丽园路1017号,M&E(日月光店),121.479078622,31.2120827333,80
1,r1,50,g157,13,蒙自路223号,PINCHAOSALON(蒙自路店),121.484844468,31.2108877218,80
1,r1,50,g157,14,鲁班路361号,E style,121.482310256,31.2082218548,80
1,r1,50,g157,0,雁荡路28号,中原美发厅,121.476356267,31.2265673016,80
