location,region,category,subcategory,index,addr,name,lng,lat,confidence
1,r1,40,g165,0,局门路801号,韩国爱丽舍宫Palace De Elysee高...,121.488186398,31.1985494017,80
1,r1,40,g165,1,长乐路161号新锦江大酒店3楼,晶翠庭·婚宴,121.469463555,31.2270352319,80
1,r1,40,g165,2,局门路735号近蒙自路,罗曼园高级婚礼会馆(卢滨店),121.491158056,31.1989858842,80
1,r1,40,g165,3,绍兴路54号,笙馆·婚宴,121.47074164,31.2157401446,80
1,r1,40,g165,4,淮海中路688号,华盛婚礼会馆(淮海中路店),121.471823,31.2258378659,80
1,r1,40,g165,5,茂名南路58号花园饭店2楼,花园饭店·婚宴,121.466379467,31.2259978277,80
1,r1,40,g165,6,茂名南路59号锦江饭店内,锦江饭店·婚宴,121.467323843,31.2266622114,80
1,r1,40,g165,7,打浦路15号斯格威铂尔曼大酒店1楼,斯格威铂尔曼大酒店·婚宴,121.477660061,31.2103143809,80
1,r1,40,g165,8,淮海中路思南路,华盛婚礼会馆(思南路店),121.475045428,31.2196609554,30
1,r1,40,g165,9,长乐路333号,藏乐坊·婚宴,121.462985911,31.2259503431,80
1,r1,40,g165,10,延安中路1218号,上海静安香格里拉大酒店·婚宴,121.456366857,31.2295007337,80
1,r1,40,g165,11,南昌路57号,科学会堂酒店.婚宴,121.47382283,31.2244949266,80
1,r1,40,g165,12,陕西南路548号乙近绍兴路,云味大可堂·婚宴,121.468178467,31.2141151253,80
1,r1,40,g165,13,徐家汇路618号日月光中心广场5楼C区,百合福海鲜膳食总汇·婚宴(日月...,121.474804347,31.2121087812,80
1,r1,40,g165,14,陕西南路30号,衡山马勒别墅饭店·婚宴,121.462987348,31.2292007149,80
1,r1,40,g165,0,陕西南路5-7号,城市酒店·婚宴,121.463570408,31.2288951041,80
1,r1,40,g165,1,徐家汇路618号日月光中心广场5楼C区,百合福海鲜膳食总汇·婚宴(日月...,121.474804347,31.2121087812,80
1,r1,40,g165,2,茂名南路58号花园饭店2楼,花园饭店·婚宴,121.466379467,31.2259978277,80
1,r1,40,g165,3,延安中路1218号,上海静安香格里拉大酒店·婚宴,121.456366857,31.2295007337,80
1,r1,40,g165,4,淮海中路300号K11购物艺术中心4楼405-501号铺,鸿星荟·婚宴(K11店),121.480266319,31.2290938086,80
1,r1,40,g165,5,瑞金二路118号瑞金宾馆内,上海瑞金洲际酒店·婚宴,121.471811463,31.2190923307,80
1,r1,40,g165,6,思南路53号,思南公馆酒店·婚宴,121.474647,31.2204928651,80
1,r1,40,g165,7,嵩山路88号,上海安达仕酒店·婚宴,121.482275431,31.2280267248,80
1,r1,40,g165,8,淮海东路99号6楼,上海1号私藏菜·婚宴,121.487577982,31.2315791327,80
1,r1,40,g165,9,南昌路47号,JE中餐厅·婚宴,121.475149581,31.2250299683,80
