location,region,category,subcategory,index,addr,name,lng,lat,confidence
1,r1,30,g135,0,打浦路1号金玉兰广场4楼,王子公主奇遇记主题KTV(打浦馆),121.477499884,31.2110022756,80
1,r1,30,g135,1,淮海中路688号华狮广场4-5楼,上海歌城(淮海中路店),121.471904364,31.2258608827,80
1,r1,30,g135,2,徐家汇路618号,纯K(打浦桥店),121.474777334,31.2117941159,80
1,r1,30,g135,3,淮海中路438号4-5楼,好乐迪(淮海店),121.477306667,31.2283104884,80
1,r1,30,g135,4,淮海东路99号新尚数码广场4楼,V-SHOW主题KTV(淮海路店),121.487379108,31.2314692784,80
1,r1,30,g135,5,徐家汇路550号宝鼎大厦4楼,自由港量贩式KTV(打浦店),121.476958307,31.2121128462,80
1,r1,30,g135,6,顺昌路2号,好乐迪(新天地旗舰店),121.482946409,31.2276025836,80
1,r1,30,g135,7,淮海中路98号金钟广场3-4楼,MAGO KTV(淮海路店),121.485691992,31.2316070665,80
1,r1,30,g135,8,兴业路123弄新天地南里广场6号楼3楼,MUSEK,121.481515139,31.2245761338,80
1,r1,30,g135,9,嵩山路79号,上海天地汇商务会所,121.482677553,31.2286695223,80
1,r1,30,g135,10,打浦路1号金玉兰广场1楼,白金翰宫皇家商务会所(白金汉宫...,121.477007111,31.2106315219,80
1,r1,30,g135,11,打浦路1号金玉兰广场1楼c区,白金翰宫商务会所(打浦店),121.477007111,31.2106315219,80
1,r1,30,g135,12,东湖路9号,九号会所港澳台夜总会KTV(东湖路...,121.460164084,31.2225679337,80
1,r1,30,g135,13,巨鹿路168号,小南国慧公馆,121.470683,31.2291458662,80
1,r1,30,g135,14,淮海中路527号成都南路路口,龍亨国际名商会所,121.475170476,31.2265697929,80
1,r1,30,g135,0,吴中路1171号亚世都大酒店后栋,大公馆夜总会,121.39114254,31.181951376,80
1,r1,30,g135,1,柳林路1号,一号公馆(淮海路店),121.486053584,31.2317410046,80
1,r1,30,g135,2,淮海中路701号7楼,百合KTV(淮海路店),121.471885034,31.2253711432,80
1,r1,30,g135,3,陕西南路,樱花苑KTV,121.467026958,31.219946836,30
1,r1,30,g135,4,瑞金南路1号海兴广场4楼,上海鑫豪量贩KTV,121.474062535,31.2104372373,80
1,r1,30,g135,5,肇嘉浜路103号,君豪商务夜总会,121.471221091,31.209284447,80
1,r1,30,g135,6,思南路113-2号,圆缘娱乐KTV(圆缘娱乐KTV),121.477644131,31.2147605242,80
1,r1,30,g135,7,长乐路398号3楼,文艺俱乐部KTV,121.467293929,31.2271227752,80
1,r1,30,g135,8,蒿山路89号,天地顶级娱乐会所,None,None,None
1,r1,30,g135,9,打浦桥,好乐迪,121.476101051,31.2110778236,40
1,r1,30,g135,10,长乐路398号,W. Y KTV,121.467293929,31.2271227752,80
1,r1,30,g135,11,茂名南路12-1号,Beer Bar,121.46671218,31.2289327017,80
1,r1,30,g135,12,茂名南路12号,红茂坊,121.466722231,31.2289525372,80
1,r1,30,g135,13,淮海中路,澜泰KTV,121.462842976,31.2219617465,25
1,r1,30,g135,14,茂名南路12-1号,花都,121.46671218,31.2289327017,80
1,r1,30,g135,0,广场56号,皇冠mc,None,None,None
1,r1,30,g135,1,打浦路,万豪,121.478779478,31.2043563353,30
1,r1,30,g135,2,淮海中路138号柳林路,红馆国际娱乐会所,121.484436339,31.2311185593,80
