location,region,category,subcategory,index,addr,name,lng,lat,confidence
1,c3580,10,g101,0,南京西路2-68号新世界城9F,70后饭吧(人民广场店),121.480349318,31.2406864543,80
1,c3580,10,g101,1,淞沪路77号万达广场B1楼城中城B-17号商铺,锅殿(千岛湖铁锅菜),121.519905662,31.3084208596,80
1,c3580,10,g101,2,大连路588号宝地广场C座2楼,丰收果实(大连路店),121.51845487,31.2670332686,80
1,c3580,10,g101,3,政学路39号,丰和日丽(创智天地店),121.516747998,31.3117725957,40
1,c3580,10,g101,4,兴国路201号,圆苑(兴国路店),121.443703337,31.2123920601,80
1,c3580,10,g101,5,肇嘉浜路1033号徐家汇国际大厦辅楼,麦盛莉(徐汇店),121.448171792,31.201351334,80
1,c3580,10,g101,6,东川路2372号,天禧大酒楼(东川路店),121.4170258,31.0175218913,80
1,c3580,10,g101,7,长兴岛光荣三路208号,上海208态申农庄,121.692170812,31.4173626699,50
1,c3580,10,g101,8,建设镇红桥村,崇明顾伯伯农家乐(顾伯伯农家乐),121.462006169,31.6608746114,25
1,c3580,10,g101,9,上海天和制药机械厂（向前100米左转即可）,崇明胡式土菜,121.401613106,31.2028722748,80
1,c3580,10,g101,10,陈家镇陈南村916号,陈南村农家菜,121.812901389,31.5033389791,30
1,c3580,10,g101,11,北陈公路瀛陈公路路口,大龙农家乐,121.808939182,31.4925454549,75
1,c3580,10,g101,12,崇明建设镇虹桥村239号,崇明森林公园虹桥农家乐,121.472639561,31.6738995305,30
1,c3580,10,g101,13,陈家镇陈西村1699号,崇明县老滋味农家乐,121.797612229,31.5120215382,80
1,c3580,10,g101,14,城桥镇东门路143号,陆港小镇酒楼,121.407830109,31.6274891022,80
1,c3580,10,g101,0,向化镇闸西村1828号,滕府仙食,121.716065402,31.5135730914,80
1,c3580,10,g101,1,港沿镇北市1298号,新生饭店,115.532911887,38.8975105133,18
1,c3580,10,g101,2,新河镇新开河路533号,麦轩美食城,121.533701013,31.5864805265,80
1,c3580,10,g101,3,八一路378号,味嘉里面菜馆,121.403226728,31.6299847833,80
1,c3580,10,g101,4,堡镇达山路338弄3号,佳源餐厅,121.633849866,31.5429765706,80
1,c3580,10,g101,5,学宫路38号,绿色时代生态餐饮,121.408507414,31.6271409373,80
1,c3580,10,g101,6,崇明新崇南路145号,小八路,121.403988032,31.6257671745,80
1,c3580,10,g101,7,城桥镇富民街3号,垄泉家常菜,121.403206148,31.6256755464,80
1,c3580,10,g101,8,城桥镇团城公路6436号,瀛园,121.463020318,31.6246358336,80
1,c3580,10,g101,9,城桥镇学宫路307号,聚友饭店,121.413147108,31.6254861196,80
1,c3580,10,g101,10,建设镇滧东村红梅14队1411号,外婆农家乐(陈家二娘舅),121.455721759,31.692103452,30
1,c3580,10,g101,11,前卫村568号,蛮灵阁农家乐,121.517716837,31.7244400172,80
1,c3580,10,g101,12,崇明堡镇工农路218号,东锦酒家,121.625622,31.5436989194,80
1,c3580,10,g101,13,堡镇中路182号,新方村酒家(堡镇店),121.626616737,31.5431604249,80
1,c3580,10,g101,14,建设镇虹桥村1511号,云姐农家乐(餐饮),121.478398822,31.685403796,30
1,c3580,10,g101,0,良辰路,滴翠湖食府,121.771039231,31.5274118913,50
1,c3580,10,g101,1,学宫路315号,小莹莹餐厅,121.412828517,31.6256300818,80
1,c3580,10,g101,2,堡镇中路394号,人民公社,121.629439751,31.547290762,80
1,c3580,10,g101,3,建议公路红梅车站红梅1302,刘姐农家乐,121.252434837,31.3844261134,50
1,c3580,10,g101,4,鼓浪屿路77号,新崇大酒店(瀛州厅店),121.428459527,31.6476713517,40
1,c3580,10,g101,5,黄河路8号,瀛都凯尚,121.47758077,31.2398692628,80
1,c3580,10,g101,6,东平国家森林公园景区内,望湖农家菜馆,121.487689439,31.6897288745,50
1,c3580,10,g101,7,城桥镇八一路868号,金鑫屋里香人家,121.406376434,31.6382121535,80
1,c3580,10,g101,8,高岛路218号,聚福缘酒家,121.418889979,31.6489212722,80
1,c3580,10,g101,9,潘园公路161弄7号,喜旺酒家,121.711681042,31.3996511427,30
1,c3580,10,g101,10,北门路136号,兴丰顺酒家,121.765104484,31.0597486295,50
1,c3580,10,g101,11,横沙乡兴胜村530号,横沙唐人家农家乐,121.870107909,31.3181315889,80
1,c3580,10,g101,12,秀林路218号,龙群度假村餐饮中心,121.491637375,31.6752685304,40
1,c3580,10,g101,13,横沙岛东滨路2579号,天使海滩度假村(中餐厅),121.892015352,31.3403875716,80
1,c3580,10,g101,14,名岛生活广场陈彷公路1弄2号101室,小荣私房菜,121.815946644,31.5031504028,80
1,c3580,10,g101,0,弘道中路帅帅旅馆旁,周记酸菜鱼(陈家镇店),121.812121943,31.5041296992,80
1,c3580,10,g101,1,北兴村北兴三队325号,崇明汉佳农家乐饭店,121.796402954,31.5712174261,30
1,c3580,10,g101,2,崇明城桥镇新崇南路35号,吴嫂大碗面菜馆,121.406521,31.6254699356,80
1,c3580,10,g101,3,宏海公路,鑫海农家菜馆,121.314337589,31.7420653812,18
1,c3580,10,g101,4,陈家镇展宏村裕中510号先晨路新出港路,裕园农庄,121.818930052,31.5232057233,30
1,c3580,10,g101,5,堡镇工农路155号,华叶美食城,121.626576533,31.5426203715,80
1,c3580,10,g101,6,陈家镇陈彷公路1弄7号,金鳞大酒店,121.815946644,31.5031504028,80
1,c3580,10,g101,7,西引路229号,小牛饭店,121.396080086,31.6330950234,80
1,c3580,10,g101,8,陈家镇彭氏农家乐,彭氏农家乐,121.795441268,31.5159542238,80
1,c3580,10,g101,9,寿声路1188号寿安寺内,玉佛寺净素月饼(崇明店),121.428577366,31.6209586078,50
1,c3580,10,g101,10,新村乡新洲村,崇明,121.284812431,31.844734371,70
1,c3580,10,g101,11,陈家镇陈西村1699号,老友农家菜,121.797612229,31.5120215382,80
1,c3580,10,g101,12,花仓丕林518号,崇明小蟹农家菜,121.731732268,31.523005335,30
1,c3580,10,g101,13,陈家镇,小虹楼农家菜馆,121.817710835,31.5069931527,25
1,c3580,10,g101,14,三星镇宏海公路4324号,建秀饭店,121.294672533,31.7487585271,80
1,c3580,10,g101,0,新河镇新开河路739号,新河大酒店,121.528824935,31.5877209488,80
1,c3580,10,g101,1,长兴岛潘园公路1107号,红鸿大酒店餐厅,121.743248531,31.3897991724,80
1,c3580,10,g101,2,建设镇虹桥村231号,好运来农家,121.472639561,31.6738995305,30
1,c3580,10,g101,3,崇明区前卫村878号,香林丽舍有机农庄,121.514673684,31.7254019021,80
1,c3580,10,g101,4,长兴岛前卫农场,老王小吃,121.697283271,31.3958850203,30
1,c3580,10,g101,5,八一路602号,凯歌大酒店,121.404421,31.6344969374,80
1,c3580,10,g101,6,向化镇向您路211号,夜德贤特色馄饨店,121.730084539,31.5262777671,25
1,c3580,10,g101,7,陈家镇陈海公路北陈公路小转向南500米,雄耀大酒店餐厅,121.817710835,31.5069931527,25
1,c3580,10,g101,8,长兴镇潘园公路152号,Coachmen Bar,121.733475012,31.3930803527,30
1,c3580,10,g101,9,城桥镇三沙洪路118号,博康酒家,121.391555262,31.6321063693,80
1,c3580,10,g101,10,新河镇新,福岛水产养殖合作社,121.531104138,31.5875020338,25
1,c3580,10,g101,11,陈家镇陈彷公路138号,妙江饭店,121.813703388,31.5052693152,80
1,c3580,10,g101,12,堡镇工农路149号,三峡人家,121.627491,31.5420089191,80
1,c3580,10,g101,13,陈海公路,湖西农家乐,121.384187306,31.6786068676,50
1,c3580,10,g101,14,玉环路587号,金都酒家,121.413486399,31.6346703587,80
1,c3580,10,g101,0,滧东村红梅14队,陈家外婆,121.455721759,31.692103452,30
1,c3580,10,g101,1,建设镇浜东村1028号,舒凡农家菜,121.506627845,31.6462709939,30
1,c3580,10,g101,2,崇明岛陈家镇屿安镇棚赢市场农工超市对面,琪琪农家菜,121.425443178,31.2018149113,80
1,c3580,10,g101,3,崇明陈家镇陈彷公路1弄2号3楼,瀛鑫大酒店,121.815946644,31.5031504028,80
1,c3580,10,g101,4,横沙岛天使度假村旁边,横沙农家乐,121.848704253,31.3439577612,30
