location,region,category,subcategory,index,addr,name,lng,lat,confidence
1,r1,20,g120,0,淮海中路755号东方商厦,MUJI(淮海755世界旗舰店),121.444160443,31.1996999725,80
1,r1,20,g120,1,淮海中路999号环贸iapm商场308&309,MUJI(环贸iapm店),121.465112221,31.2225976524,80
1,r1,20,g120,2,徐家汇路618号日月光广场B1层XJH02,MUJI(日月光广场店),121.474777334,31.2117941159,80
1,r1,20,g120,3,淮海中路138号上海广场3楼324室,MUJI(上海广场店),121.484094744,31.23088451,80
1,r1,20,g120,4,淮海中路887号B1 楼,GU极优(淮海中路店),121.467706746,31.2233981982,80
1,r1,20,g120,5,淮海中路111号L101/L124-129/L201-203铺位,ZARA(时代广场店),121.485010715,31.2304395744,80
1,r1,20,g120,6,淮海中路999号上海环贸广场LG2层203-205号铺,6IXTY8IGHT(上海环贸广场店),121.464709996,31.2217037718,80
1,r1,20,g120,7,淮海中路900号,Forever 21(淮海店),121.466378079,31.2235574695,80
1,r1,20,g120,8,徐家汇路618号打浦桥日月光广场2F-RJ04,TKF SPASSO(日月光店),121.474777334,31.2117941159,80
1,r1,20,g120,9,淮海中路688号1层/2层,ZARA(华狮广场店),121.472075302,31.226107762,80
1,r1,20,g120,10,淮海中路645-659号B1-3F,H&M(淮海路店),121.472788484,31.2256644651,80
1,r1,20,g120,11,淮海中路217号,Hermes Maison,121.482687934,31.2296194272,80
1,r1,20,g120,12,马当路245号新天地时尚购物广场B101-102室,STAYREAL(新天地时尚购物广场店),121.481479391,31.2235206185,80
1,r1,20,g120,13,淮海中路99号连卡佛,Acne Studios(连卡佛店),121.485225679,31.2306409009,80
1,r1,20,g120,14,淮海中路999号上海环贸广场B1楼LG207-210&LG218-221,H&M(环贸广场店),121.464709996,31.2217037718,80
1,r1,20,g120,0,淮海中路138号上海广场1楼,URBANREVIVO(淮海中路二店),121.484094744,31.23088451,80
1,r1,20,g120,1,淮海中路282号香港广场内,GAP(香港广场店),121.481472277,31.2297315576,80
1,r1,20,g120,2,淮海中路333号太平洋百货B2楼,UNIQLO(淮海路太平洋店),121.480672169,31.2287822419,80
